name,email,phone,company
  John Doe,john@example.com,(555) 123-4567,Tech Corp
  Jane Smith,jane@company.com,555.987.6543,Marketing Inc
  John Doe,john@example.com,555-123-4567,Tech Corp
  Bob Wilson,bob@startup.com,+1-555-111-2222,Startup LLC
  Alice Brown,alice@invalid,555 333 4444,Design Co
  Mike Johnson,mike@tech.com,(555) 999-8888,Tech Corp
  Sarah Davis,sarah@marketing.com,555-777-1234,Marketing Inc
  John Doe,john.doe@example.com,555-123-4567,Tech Corp
  Lisa Wilson,lisa@startup.com,555.111.2222,Startup LLC
  Tom Brown,tom@invalid-email,555 444 5555,Design Co
  Emma Garcia,emma@digitalagency.com,(555) 456-7890,Digital Agency
  David Lee,david.lee@consulting.com,555-789-0123,Consulting Group
  Jennifer White,jennifer@retailcorp.com,+1-555-234-5678,Retail Corp
  Michael Chen,mchen@fintech.com,555.345.6789,FinTech Solutions
  Amanda Rodriguez,amanda@healthtech.com,(555) 567-8901,HealthTech Inc
  Daniel Kim,daniel@ecommerce.co,555-678-9012,E-commerce Plus
  Jessica Taylor,jessica@mediacompany.com,555 789 0123,Media Company
  Christopher Martinez,chris@saascompany.com,+1-555-890-1234,SaaS Company
  Nicole Anderson,nicole@nonprofit.org,(555) 901-2345,Nonprofit Org
  Ryan Thompson,ryan@construction.com,555.012.3456,Construction LLC
  Emily Johnson,emily@lawfirm.com,555-123-4567,Law Firm Partners
  Brandon Davis,brandon@restaurant.com,555 234 5678,Restaurant Group
  Ashley Wilson,ashley@realestate.com,+1-555-345-6789,Real Estate Co
  Kevin Garcia,kevin@automotive.com,(555) 456-7890,Automotive Inc
  Melissa Brown,melissa@fashion.com,555.567.8901,Fashion Brand
  Andrew Miller,andrew@insurance.com,555-678-9012,Insurance Group
  Stephanie Jones,stephanie@education.org,555 789 0123,Education Foundation
  Justin Williams,justin@logistics.com,+1-555-890-1234,Logistics Corp
  Rachel Taylor,rachel@pharmaceutical.com,(555) 901-2345,Pharma Solutions
  Matthew Anderson,matthew@manufacturing.com,555.012.3456,Manufacturing Inc
  Samantha Thomas,samantha@entertainment.com,555-123-4567,Entertainment Co
  Daniel Jackson,daniel@aerospace.com,555 234 5678,Aerospace Tech
  Lauren White,lauren@beauty.com,+1-555-345-6789,Beauty Products
  Jonathan Lewis,jonathan@energy.com,(555) 456-7890,Energy Solutions
  Megan Harris,megan@travel.com,555.567.8901,Travel Agency
  Christopher Clark,chris@sports.com,555-678-9012,Sports Equipment
  Amanda Walker,amanda@agriculture.com,555 789 0123,Agriculture Corp
  Tyler Young,tyler@mining.com,+1-555-890-1234,Mining Operations
  Kimberly Allen,kimberly@textiles.com,(555) 901-2345,Textiles Inc
  Alexander King,alex@chemicals.com,555.012.3456,Chemical Solutions
  Jennifer Scott,jennifer@packaging.com,555-123-4567,Packaging Corp
  Ryan Green,ryan@renewable.com,555 234 5678,Renewable Energy
  Sarah Adams,sarah@biotech.com,+1-555-345-6789,BioTech Labs
  Michael Baker,michael@publishing.com,(555) 456-7890,Publishing House
  Jessica Nelson,jessica@telecommunications.com,555.567.8901,Telecom Solutions
  David Carter,david@security.com,555-678-9012,Security Systems
  Emma Mitchell,emma@invalid-domain,555 789 0123,Marketing Agency
  Brandon Roberts,brandon@consulting,+1-555-890-1234,Business Consulting
  Ashley Turner,ashley@,555-901-2345,Design Studio
  Kevin Phillips,kevin@duplicate.com,(555) 012-3456,Tech Startup
  Kevin Phillips,kevin@duplicate.com,555-012-3456,Tech Startup
