name,email,phone,company,phone_cleaned,email_valid
Brittany Williams,brittany.williams@hubbard.com,268.492.8143,Moody-Walter,2684928143,True
Robin Dalton,robin@invalid-domain,769.295.7531,Gutierrez-Thompson Ltd,7692957531,False
Deborah Dixon,deborah.dixon@webster.com,475.400.3779x91719,Avila-Cervantes Technologies,475400377991719,True
Allen Gardner,allen . .gardner @brown .com,+1 824 515 4375x118,Munoz PLC,+18245154375118,False
Penny Mueller,penny.mueller@murphy.com,466 791 7203x936,Williams Ltd,4667917203936,True
Thomas Aguilar,thomas.aguilar@manning.com,(439)341-4976,"Meza, Johnson and Friedman Services",4393414976,True
Madeline Brewer,madeline.brewer@smith-taylor.biz,827.450.6461,Alvarez-Davis,8274506461,True
Jason Paul,jason.paul@shaw.info,001 510 357 9199x105,"Lawrence, Lang and Rodriguez",0015103579199105,True
Carl Taylor,carl.taylor@scott.biz,243639 9640x44977,Murray-Carlson Inc,243639964044977,True
Jay Richards,jay.richards@kent-hunter.net,+1 556 512 6067x92461,Marquez-Sosa Inc,+1556512606792461,True
David Simon,david.simon@peters.com,+1-782-350-7240x86791,Garcia PLC Services,+1782350724086791,True
Joshua Smith,joshua.smith@brock.com,328.226.5432,"Crane, Martinez and Waters",3282265432,True
Robert Rice,robert.rice@williams.com,954.934.5297,Robinson-Harris,9549345297,True
Robert Rodriguez,robert.rodriguez@klein-obrien.com,493.630.1056x13595,Mayer Inc,493630105613595,True
Jeremy Huerta,jeremy.huerta@carter.biz,001-735-494-0565x2617,"Schwartz, Griffith and Patton",00173549405652617,True
Anthony Perez,anthony.perez@nguyen.com,227 623 3933,Oneal-Richardson Systems,2276233933,True
Debra Erickson,debra .erickson @robbins .org,(991)898.9070,Irwin-Fuller Group,9918989070,False
Anne Wiggins,anne..wiggins@salazar-fowler.com,617 420 3218x22063,Rasmussen-Williams Ltd,617420321822063,True
Julie Curry,julie.curry@ward.info,676443 8525x84837,Thompson-Blanchard,676443852584837,True
Teresa Andersen,teresa.andersen@williams.org,280805 5821x4810,Rosales LLC Inc,28080558214810,True
Jacqueline Donovan,jacqueline.donovan@bradford-simmons.com,+1-423-667-8918,House-Benson Ltd,+14236678918,True
Patricia Guerrero,patricia.guerrero@fitzgerald-espinoza.com,653 405 0476,Hamilton-Lambert Ltd,6534050476,True
Nina Willis,nina.willis@cooper.net,001 850 871 6055x7803,"Jordan, Spears and Ayala Corp",00185087160557803,True
Sean Ellison,sean.ellison@martinez.com,632 524 9072x42938,Burton Inc,632524907242938,True
Elizabeth Banks,elizabeth.banks@mahoney.net,+1.431.622.3227,"Thompson, Young and Montes",+14316223227,True
Zachary Lee,zachary.lee@lutz-bryan.com,(407)300-1559x133,Cortez Ltd Inc,4073001559133,True
Shawn Harrington,shawn.harrington@hamilton.com,(323)308-4614,"Collins, Brock and Willis",3233084614,True
Roger Carrillo,roger.carrillo@moore.com,777.824.7804x669,Carter-Hoffman,7778247804669,True
Misty Marshall,misty.marshall@duke.com,852.375.6764x9775,"King, Jarvis and Jones Solutions",85237567649775,True
Christopher Guzman,christopher.guzman@frederick.com,896-665-2875x523,Berry-Pierce,8966652875523,True
Amanda Hart,amanda.hart@hunter.info,503-314-5327,Bell Inc Ltd,5033145327,True
Peter Tucker,peter.tucker@vargas.com,325-706-0402x9338,"Young, Bonilla and Thompson LLC",32570604029338,True
Kimberly Stevens,kimberly.stevens@orozco-wang.com,637652 4895,"Rojas, Graham and Vasquez",6376524895,True
Robert Parsons,robert.parsons@smith.com,710.259.7557,Brown-Robles,7102597557,True
Kathleen Mercado,kathleen.mercado@shelton-mckenzie.org,860.414.3988,"Hanson, Harrison and Frank Inc",8604143988,True
Wendy Singh,wendy.singh@fox-larson.com,5756118302,Garcia Inc,5756118302,True
Michael Banks,michael.banks@allen-ramirez.biz,3669510115,"White, Nicholson and Frank",3669510115,True
Robert Gray,robert.gray@yates-mitchell.info,391 333 5211,Mata Group,3913335211,True
Joel Murphy,joel.murphy@harrison-logan.com,(510)961-3283x0469,Martinez Ltd,51096132830469,True
Diana Combs,diana.combs@patterson.com,001 672 521 7579x002,Ballard-Gilmore LLC,0016725217579002,True
Brooke James,brooke.james@forbes.com,904.646.4358x765,"Johnson, Watson and Sullivan Ltd",9046464358765,True
Elizabeth Mccoy,elizabeth.mccoy@hernandez-jackson.com,001-205-978-8812x6925,"Collins, Shaffer and Horn Technologies",00120597888126925,True
Sherri Anderson,sherri@invalid-domain,(294)411-2109x2174,"Scott, Williams and Davis",29441121092174,False
Amanda Hoffman,amanda.hoffman@moore.com,001-320-471-6579x7250,Roberts-Ibarra Group,00132047165797250,True
Megan Rivers,megan.rivers@cannon.com,671-595-6565x200,Delacruz and Sons Technologies,6715956565200,True
Sheila Thompson,sheila.thompson@cox.org,463.837.2933,Torres Inc Corp,4638372933,True
Christy Hull,christy.hull@perkins.com,959.492.0057,Carter-Scott,9594920057,True
Jonathan Wolf,jonathan.wolf@bautista.com,312-630-8071x0507,Gordon Ltd Inc,31263080710507,True
George Madden,george@invalid-domain,+1-875-435-6110x8057,"Rodriguez, Gill and Mcbride",+187543561108057,False
Dylan Goodwin,dylan.goodwin@watson-turner.net,218341 2316,"Clark, Griffin and Brown Group",2183412316,True
Gabriela Jacobs,gabriela.jacobs@mckenzie.biz,001.997.612.7341x0315,Chavez-Cooper Inc,00199761273410315,True
Kathryn Smith,kathryn.smith@lucas.biz,(983)782-1607x539,Scott-Calhoun,9837821607539,True
Cindy Anthony,cindy.anthony@berger-hall.com,+1-802-506-2496x03539,Hunter-Clark Corp,+1802506249603539,True
Jennifer Garcia,jennifer.garcia@kennedy.biz,4374212123,Gilmore-Mccarthy Ltd,4374212123,True
Mark Hawkins,mark.hawkins@gillespie-williamson.biz,001 777 446 3569,"Walker, Nelson and Finley",0017774463569,True
Nicole Miller,nicole.miller@anderson-jones.com,376.784.0787x018,Hammond-Hamilton Group,3767840787018,True
John Beard,john.beard@garcia-howard.com,001.593.268.4162x62398,"Flores, Fuller and Williams",001593268416262398,True
Brandi Sullivan,brandi.sullivan@weiss.org,957.639.7624x205,"Pratt, Middleton and Rhodes Systems",9576397624205,True
Wendy Moore,wendy@invalid-domain,418.951.0545x4247,"Bradley, Turner and Fisher Corp",41895105454247,False
Gregory Reynolds,gregory.reynolds@burton.com,+1.687.758.6098x5491,Reynolds PLC,+168775860985491,True
Elizabeth Sharp,elizabeth.sharp@morrison-daniels.net,658822 9851x384,"Williams, Cook and Sanchez Corp",6588229851384,True
James Hall,james.hall@garcia-torres.info,+1-360-408-1474x38806,Black LLC,+1360408147438806,True
Jared Murray,jared.murray@fuentes.com,+1 254 350 3968,"Miller, Hines and Hardy",+12543503968,True
Cindy Carey,cindy.carey@parker-jones.com,+1 992 662 4351,Schmidt-Stark Technologies,+19926624351,True
Aaron Hancock,aaron.hancock@taylor-smith.com,001 377 423 6430x638,"Tucker, Gallegos and Howell Technologies",0013774236430638,True
Michelle Robinson,michelle.robinson@morales.info,315.635.3331x185,Austin-Burnett,3156353331185,True
Kyle Santos,kyle.santos@delacruz-keller.com,948.545.3792x50286,Thompson-Lopez,948545379250286,True
Emma White,emma.white@miller-ho.org,001 407 567 5413x530,Hernandez and Sons Solutions,0014075675413530,True
Tammy Brown,tammy.brown@nichols.com,654-661-7379,Ford-Meyers,6546617379,True
Gary Anderson,gary.anderson@brown-edwards.biz,7367856238,Cardenas-Sullivan LLC,7367856238,True
Christopher Rojas,christopher.rojas@dunn.com,876.882.9006x4078,Owen and Sons,87688290064078,True
Christine Bell,christine..bell@mullen.biz,(742)744-2287,Williams Ltd,7427442287,True
Geoffrey Gomez,geoffrey.gomez@townsend.com,+1-518-520-6106,Barber-Preston,+15185206106,True
Benjamin Smith,benjamin.smith@martinez.biz,734 930 0820x789,Ramirez-Shah,7349300820789,True
David Russell,david@invalid-domain,502306 8648,Hart-Moran,5023068648,False
Fernando Johnson,fernando.johnson@mason.com,(964)444-3608,Norton and Sons,9644443608,True
Nancy Sanders,nancy.sanders@collins.com,915.486.1123x44065,"Mendoza, Taylor and Brown Services",915486112344065,True
Joshua Ritter,joshua.ritter@clark.biz,+1-634-808-0774x5801,"Booth, Poole and Benson",+163480807745801,True
Cheyenne Gutierrez,cheyenne.gutierrez@young.info,(745)771-0205x8741,Ford Ltd,74577102058741,True
Katherine Bush,katherine.bush@clark.com,(876)643-0513x654,Levy-Young Services,8766430513654,True
Joseph Ponce,joseph.ponce@mitchell.biz,9937967947,Becker-Hicks Services,9937967947,True
James Moore,james@invalid-domain,+1 810 295 8053x188,Palmer-Powell Solutions,+18102958053188,False
James Salinas,james.salinas@brown.com,(814)633-2362x1924,Gomez Inc Corp,81463323621924,True
Heather Nielsen,heather.nielsen@logan.com,001 697 604 6290,Conrad-Blanchard,0016976046290,True
James Reyes,james.reyes@martin.com,340758 4493x29695,"Silva, Horton and Martin Technologies",340758449329695,True
Brandon Peterson,brandon.peterson@perry-roach.info,874.798.0466x0806,Gonzales-Rogers,87479804660806,True
Zachary Park,zachary.park@stark-hall.com,+1 898 527 1356x573,"Estrada, Flores and Cooper",+18985271356573,True
Michael Gibson,michael.gibson@ramirez.org,537-262-0108,Allison Inc,5372620108,True
William Weaver,william.weaver@cunningham-smith.com,786268 0453x5109,"Morgan, Farley and Walker Solutions",78626804535109,True
William Gould,william.gould@powell-weber.com,(276)755.9831x11297,Jenkins Group,276755983111297,True
Megan Lowery,megan.lowery@morrison-dickerson.com,+1.201.312.1929x8639,"Smith, Henry and Cooke LLC",+120131219298639,True
John Hernandez,john.hernandez@lopez-weber.com,814533 4611,Obrien Inc,8145334611,True
Rachel Walker,rachel.walker@cooper.info,374 867 6698x5154,"Coleman, Hernandez and Moss LLC",37486766985154,True
Michelle Hernandez,michelle.hernandez@phillips.biz,950.759.5876,Ford-Smith Technologies,9507595876,True
Angelica Lee,angelica.lee@king.com,691.892.9360x16176,Lewis PLC Inc,691892936016176,True
Timothy Walsh,timothy.walsh@riley-garrison.net,001.452.573.2566,Meyers PLC Systems,0014525732566,True
Adam Ho,adam.ho@kelly.com,900 364 8052,"Mcdaniel, Brown and Williams",9003648052,True
Shannon Ruiz,shannon.ruiz@rivera.info,205 815 3361x262,"Armstrong, Wolfe and Ortega Systems",2058153361262,True
Sarah Meyer,sarah.meyer@skinner-smith.com,298.572.2453x984,"Hoover, Meza and Hall Technologies",2985722453984,True
John Brown,john..brown@roberts.com,577.802.3787x4395,"Guzman, Smith and Spears Group",57780237874395,True
Micheal Hill,micheal.hill@lara-hudson.com,494 674 4204,Stone-Sanders,4946744204,True
Ashley Murphy,ashley.murphy@ellis.com,+1 984 637 2029x9450,Gutierrez-Roach Inc,+198463720299450,True
Stephanie Pennington,stephanie.pennington@warren.com,772.837.5240x2414,"Walls, Baker and Thornton",77283752402414,True
Rebecca Davis,rebecca.davis@rollins-owens.org,249.724.1052x67972,"Shaffer, Mccoy and Conway",249724105267972,True
Kelly Alvarez,kelly.alvarez@thompson.com,674623 2974,Brown and Sons Services,6746232974,True
Michael Collins,michael.collins@black-garcia.net,249-480-9612x3162,King-Holloway,24948096123162,True
